CustomerKey,LastPurchaseDate,Days,Months
18546,4/13/2013 0:00,290,9
22768,4/19/2013 0:00,284,9
11238,4/30/2013 0:00,273,9
25224,4/2/2013 0:00,301,9
24703,4/4/2013 0:00,299,9
28725,4/26/2013 0:00,277,9
20710,4/26/2013 0:00,277,9
16382,4/7/2013 0:00,296,9
14908,4/21/2013 0:00,282,9
21294,4/12/2013 0:00,291,9
18071,4/25/2013 0:00,278,9
29432,4/7/2013 0:00,296,9
28954,4/19/2013 0:00,284,9
27680,4/7/2013 0:00,296,9
21815,4/5/2013 0:00,298,9
24809,4/9/2013 0:00,294,9
14095,4/11/2013 0:00,292,9
26452,4/11/2013 0:00,292,9
15260,4/4/2013 0:00,299,9
17318,4/26/2013 0:00,277,9
24351,4/6/2013 0:00,297,9
13923,4/10/2013 0:00,293,9
19588,4/2/2013 0:00,301,9
20129,4/4/2013 0:00,299,9
26389,4/27/2013 0:00,276,9
22874,4/21/2013 0:00,282,9
28035,4/29/2013 0:00,274,9
26701,4/2/2013 0:00,301,9
28599,4/28/2013 0:00,275,9
22044,4/11/2013 0:00,292,9
21354,4/5/2013 0:00,298,9
19127,4/17/2013 0:00,286,9
13176,4/21/2013 0:00,282,9
22522,4/10/2013 0:00,293,9
16963,4/2/2013 0:00,301,9
19233,4/9/2013 0:00,294,9
16362,4/18/2013 0:00,285,9
17713,4/19/2013 0:00,284,9
16193,4/26/2013 0:00,277,9
26349,4/2/2013 0:00,301,9
12286,4/18/2013 0:00,285,9
17982,4/4/2013 0:00,299,9
18964,4/20/2013 0:00,283,9
20438,4/11/2013 0:00,292,9
27308,4/7/2013 0:00,296,9
14075,4/23/2013 0:00,280,9
23793,4/16/2013 0:00,287,9
25665,4/29/2013 0:00,274,9
12930,4/22/2013 0:00,281,9
29266,4/5/2013 0:00,298,9
14135,4/18/2013 0:00,285,9
16302,4/23/2013 0:00,280,9
23747,4/25/2013 0:00,278,9
23939,4/6/2013 0:00,297,9
11739,4/16/2013 0:00,287,9
16299,4/24/2013 0:00,279,9
26432,4/26/2013 0:00,277,9
11613,4/24/2013 0:00,279,9
21208,4/28/2013 0:00,275,9
29409,4/12/2013 0:00,291,9
27388,4/12/2013 0:00,291,9
23498,4/4/2013 0:00,299,9
26933,4/1/2013 0:00,302,9
14089,4/17/2013 0:00,286,9
28845,4/28/2013 0:00,275,9
17633,4/5/2013 0:00,298,9
21068,4/5/2013 0:00,298,9
23232,4/6/2013 0:00,297,9
23106,4/17/2013 0:00,286,9
27826,4/21/2013 0:00,282,9
25725,4/5/2013 0:00,298,9
12741,4/10/2013 0:00,293,9
19923,4/30/2013 0:00,273,9
19625,4/9/2013 0:00,294,9
22791,4/23/2013 0:00,280,9
21978,4/22/2013 0:00,281,9
26492,4/23/2013 0:00,280,9
19568,4/26/2013 0:00,277,9
29177,4/28/2013 0:00,275,9
25476,4/4/2013 0:00,299,9
25370,4/20/2013 0:00,283,9
28287,4/23/2013 0:00,280,9
20458,4/29/2013 0:00,274,9
28871,4/30/2013 0:00,273,9
13992,4/12/2013 0:00,291,9
20962,4/12/2013 0:00,291,9
19047,4/5/2013 0:00,298,9
25015,4/7/2013 0:00,296,9
23541,4/26/2013 0:00,277,9
25848,4/8/2013 0:00,295,9
24912,4/13/2013 0:00,290,9
19983,4/22/2013 0:00,281,9
19857,4/22/2013 0:00,281,9
29180,4/28/2013 0:00,275,9
21088,4/5/2013 0:00,298,9
11828,4/19/2013 0:00,284,9
11490,4/4/2013 0:00,299,9
22067,4/26/2013 0:00,277,9
24772,4/10/2013 0:00,293,9
25768,4/18/2013 0:00,285,9
27783,4/2/2013 0:00,301,9
11616,4/15/2013 0:00,288,9
22914,4/4/2013 0:00,299,9
24998,4/2/2013 0:00,301,9
18128,4/15/2013 0:00,288,9
11135,4/18/2013 0:00,285,9
14696,4/12/2013 0:00,291,9
23003,4/22/2013 0:00,281,9
24354,4/30/2013 0:00,273,9
11696,4/29/2013 0:00,274,9
11387,4/1/2013 0:00,302,9
20999,4/15/2013 0:00,288,9
25104,4/12/2013 0:00,291,9
11304,4/22/2013 0:00,281,9
22081,4/5/2013 0:00,298,9
12764,4/4/2013 0:00,299,9
20667,4/11/2013 0:00,292,9
28539,4/12/2013 0:00,291,9
24148,4/3/2013 0:00,300,9
14553,4/26/2013 0:00,277,9
13093,4/23/2013 0:00,280,9
17484,4/21/2013 0:00,282,9
17046,4/28/2013 0:00,275,9
26392,4/9/2013 0:00,294,9
29183,4/13/2013 0:00,290,9
20856,4/17/2013 0:00,286,9
19084,4/6/2013 0:00,297,9
20166,4/5/2013 0:00,298,9
15838,4/29/2013 0:00,274,9
21632,4/9/2013 0:00,294,9
23029,4/3/2013 0:00,300,9
23198,4/1/2013 0:00,302,9
16949,4/20/2013 0:00,283,9
26882,4/25/2013 0:00,278,9
19820,4/19/2013 0:00,284,9
18930,4/22/2013 0:00,281,9
20988,4/1/2013 0:00,302,9
28127,4/7/2013 0:00,296,9
26484,4/16/2013 0:00,287,9
13202,4/5/2013 0:00,298,9
28004,4/15/2013 0:00,288,9
29232,4/1/2013 0:00,302,9
28479,4/21/2013 0:00,282,9
27437,4/2/2013 0:00,301,9
20985,4/5/2013 0:00,298,9
22843,4/12/2013 0:00,291,9
24858,4/12/2013 0:00,291,9
25299,4/6/2013 0:00,297,9
29295,4/29/2013 0:00,274,9
25007,4/25/2013 0:00,278,9
27022,4/30/2013 0:00,273,9
12438,4/6/2013 0:00,297,9
14353,4/5/2013 0:00,298,9
19926,4/6/2013 0:00,297,9
19096,4/25/2013 0:00,278,9
20570,4/17/2013 0:00,286,9
27360,4/14/2013 0:00,289,9
23965,4/30/2013 0:00,273,9
23753,4/24/2013 0:00,279,9
18641,4/6/2013 0:00,297,9
23716,4/16/2013 0:00,287,9
20991,4/27/2013 0:00,276,9
12209,4/21/2013 0:00,282,9
23547,4/29/2013 0:00,274,9
11081,4/13/2013 0:00,290,9
19594,4/12/2013 0:00,291,9
20676,4/13/2013 0:00,290,9
16454,4/23/2013 0:00,280,9
16846,4/19/2013 0:00,284,9
22780,4/21/2013 0:00,282,9
25336,4/26/2013 0:00,277,9
23072,4/21/2013 0:00,282,9
25628,4/3/2013 0:00,300,9
15641,4/24/2013 0:00,279,9
24546,4/15/2013 0:00,288,9
14828,4/14/2013 0:00,289,9
11625,4/23/2013 0:00,280,9
12707,4/13/2013 0:00,290,9
13308,4/27/2013 0:00,276,9
12272,4/8/2013 0:00,295,9
26335,4/12/2013 0:00,291,9
19388,4/17/2013 0:00,286,9
24108,4/26/2013 0:00,277,9
22465,4/21/2013 0:00,282,9
19219,4/22/2013 0:00,281,9
28957,4/29/2013 0:00,274,9
19216,4/29/2013 0:00,274,9
19577,4/26/2013 0:00,277,9
24440,4/24/2013 0:00,279,9
14104,4/1/2013 0:00,302,9
20410,4/10/2013 0:00,293,9
22966,4/18/2013 0:00,285,9
22525,4/19/2013 0:00,284,9
25379,4/29/2013 0:00,274,9
22886,4/16/2013 0:00,287,9
20347,4/20/2013 0:00,283,9
25757,4/6/2013 0:00,297,9
22903,4/29/2013 0:00,274,9
19986,4/2/2013 0:00,301,9
23922,4/29/2013 0:00,274,9
24815,4/9/2013 0:00,294,9
29206,4/18/2013 0:00,285,9
13102,4/8/2013 0:00,295,9
17367,4/8/2013 0:00,295,9
24549,4/25/2013 0:00,278,9
12647,4/20/2013 0:00,283,9
21363,4/27/2013 0:00,276,9
24572,4/16/2013 0:00,287,9
17387,4/3/2013 0:00,300,9
24818,4/26/2013 0:00,277,9
11399,4/13/2013 0:00,290,9
22760,4/20/2013 0:00,283,9
17556,4/5/2013 0:00,298,9
16972,4/12/2013 0:00,291,9
27443,4/27/2013 0:00,276,9
19259,4/23/2013 0:00,280,9
29192,4/23/2013 0:00,280,9
13809,4/18/2013 0:00,285,9
17616,4/25/2013 0:00,278,9
26232,4/23/2013 0:00,280,9
28731,4/21/2013 0:00,282,9
21990,4/6/2013 0:00,297,9
19677,4/19/2013 0:00,284,9
12644,4/20/2013 0:00,283,9
15269,4/27/2013 0:00,276,9
13208,4/11/2013 0:00,292,9
27901,4/19/2013 0:00,284,9
21283,4/14/2013 0:00,289,9
18014,4/6/2013 0:00,297,9
23424,4/18/2013 0:00,285,9
28379,4/10/2013 0:00,293,9
24898,4/24/2013 0:00,279,9
23570,4/29/2013 0:00,274,9
20530,4/30/2013 0:00,273,9
23839,4/15/2013 0:00,288,9
29435,4/22/2013 0:00,281,9
29289,4/3/2013 0:00,300,9
14098,4/12/2013 0:00,291,9
22488,4/27/2013 0:00,276,9
22880,4/27/2013 0:00,276,9
19886,4/12/2013 0:00,291,9
16763,4/11/2013 0:00,292,9
29103,4/1/2013 0:00,302,9
13205,4/21/2013 0:00,282,9
18675,4/14/2013 0:00,289,9
19242,4/28/2013 0:00,275,9
23364,4/7/2013 0:00,296,9
23756,4/1/2013 0:00,302,9
22863,4/19/2013 0:00,284,9
12953,4/18/2013 0:00,285,9
13016,4/24/2013 0:00,279,9
29292,4/7/2013 0:00,296,9
15618,4/1/2013 0:00,302,9
19946,4/15/2013 0:00,288,9
25356,4/18/2013 0:00,285,9
19743,4/10/2013 0:00,293,9
28210,4/15/2013 0:00,288,9
28963,4/21/2013 0:00,282,9
18853,4/26/2013 0:00,277,9
20250,4/18/2013 0:00,285,9
24718,4/7/2013 0:00,296,9
19789,4/30/2013 0:00,273,9
19099,4/18/2013 0:00,285,9
21186,4/26/2013 0:00,277,9
12942,4/13/2013 0:00,290,9
23997,4/17/2013 0:00,286,9
24595,4/4/2013 0:00,299,9
19560,4/15/2013 0:00,288,9
13174,4/9/2013 0:00,294,9
26699,4/30/2013 0:00,273,9
